model,best_accu_test_iter,best_accu_test_test,best_accu_test_noise,best_accu_test_adv,best_accu_test_sigmoid,best_accu_test_softmax,best_accu_noise_iter,best_accu_noise_test,best_accu_noise_noise,best_accu_noise_adv,best_accu_noise_sigmoid,best_accu_noise_softmax,best_accu_adv_iter,best_accu_adv_test,best_accu_adv_noise,best_accu_adv_adv,best_accu_adv_sigmoid,best_accu_adv_softmax,best_sigmoid_iter,best_sigmoid_test,best_sigmoid_noise,best_sigmoid_adv,best_sigmoid_sigmoid,best_sigmoid_softmax,best_softmax_iter,best_softmax_test,best_softmax_noise,best_softmax_adv,best_softmax_sigmoid,best_softmax_softmax
c10-cifar_cnn_three_conv_backprop,4500,0.5916,0.5848,0.1837,0.9952565,0.9860206,3000,0.5901,0.5885,0.1818,0.99269119926912,0.9671516302909782,49500,0.5545,0.5501,0.2337,1.0,1.0,500,0.5057,0.502,0.1863,0.9652036985828033,0.7768879325490445,500,0.5057,0.502,0.1863,0.9652036985828033,0.7768879325490445
c10-cifar_cnn_three_conv_biprop,4000,0.5763,0.5651,0.1927,0.9978397284878099,0.9794700309930588,3500,0.571,0.5664,0.1932,0.9968866965753662,0.9722743807047288,500,0.4652,0.4634,0.2163,0.9525991950333882,0.645351725997327,500,0.4652,0.4634,0.2163,0.9525991950333882,0.645351725997327,500,0.4652,0.4634,0.2163,0.9525991950333882,0.645351725997327
c10-cifar_cnn_three_conv_halfbiprop,7000,0.57,0.5641,0.1882,0.9984151998415199,0.9906628,8000,0.5693,0.5704,0.1837,0.9978902997890299,0.9905121,49500,0.535,0.5315,0.2203,1.0,1.0,500,0.4635,0.4651,0.2201,0.9550740113137881,0.655876317959256,500,0.4635,0.4651,0.2201,0.9550740113137881,0.655876317959256
c10-cifar_cnn_three_conv_nobias_backprop,3000,0.5972,0.5932,0.1715,0.995507,0.9764151376415138,5000,0.5948,0.5941,0.1782,0.9993069,0.9980848,47000,0.5576,0.5573,0.2261,1.0,1.0,500,0.4986,0.4943,0.1953,0.9445592192698505,0.6712844932832719,500,0.4986,0.4943,0.1953,0.9445592192698505,0.6712844932832719
c10-cifar_cnn_three_conv_nobias_biprop,5500,0.5676,0.5646,0.1868,0.9797720398860199,0.9690422445211222,4500,0.5651,0.5648,0.1893,0.9662458763721135,0.9545834050542692,1000,0.5098,0.5006,0.2161,0.8515911663706671,0.5643268290482482,1000,0.5098,0.5006,0.2161,0.8515911663706671,0.5643268290482482,1000,0.5098,0.5006,0.2161,0.8515911663706671,0.5643268290482482
c10-cifar_cnn_three_conv_nobias_halfbiprop,4500,0.5642,0.562,0.1909,0.9449246244924624,0.8887419888741989,4500,0.5642,0.562,0.1909,0.9449246244924624,0.8887419888741989,500,0.4701,0.4627,0.2165,0.936459244224235,0.6937512263457632,2000,0.5481,0.5496,0.1833,0.9162890414023289,0.785595792844841,1000,0.5004,0.4837,0.2091,0.9201775267189832,0.5831723119089581
c10-cifar_gan_cnn_two_conv_backprop,5000,0.7101,0.6973,0.161,1.0,1.0,20000,0.7081,0.7063,0.1765,1.0,1.0,45000,0.6645,0.5357,0.2187,1.0,1.0,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281
c10-cifar_gan_cnn_two_conv_biprop,135000,0.565,0.5429,0.2445,1.0,1.0,275000,0.5555,0.5565,0.2511,1.0,1.0,410000,0.5541,0.5438,0.2646,0.99999976,0.9999999,5000,0.4337,0.4194,0.2383,0.08643489183160362,0.7283537521362992,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281
c10-cifar_gan_cnn_two_conv_halfbiprop,495000,0.574,0.5645,0.258,1.0,1.0,495000,0.574,0.5645,0.258,1.0,1.0,180000,0.5578,0.5497,0.2686,1.0,1.0,15000,0.5221,0.4603,0.2278,0.015535637453175731,0.9778031155948292,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281
c10-cifar_gan_cnn_two_conv_nobias_backprop,10000,0.7134,0.7067,0.1733,1.0,1.0,10000,0.7134,0.7067,0.1733,1.0,1.0,500000,0.6729,0.6666,0.2847,1.0,1.0,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281
c10-cifar_gan_cnn_two_conv_nobias_biprop,15000,0.4264,0.4114,0.1981,3.614588059264647e-07,0.9014409,15000,0.4264,0.4114,0.1981,3.614588059264647e-07,0.9014409,260000,0.2819,0.2679,0.2723,1.0,1.0,15000,0.4264,0.4114,0.1981,3.614588059264647e-07,0.9014409,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281
c10-cifar_gan_cnn_two_conv_nobias_halfbiprop,480000,0.5419,0.531,0.3366,1.0,1.0,480000,0.5419,0.531,0.3366,1.0,1.0,450000,0.513,0.5109,0.3519,1.0,1.0,20000,0.3645,0.288,0.2058,0.0,0.9995828,0,0.0978,0.1008,0.0986,0.5786954158506361,0.2864881369751281
c10-cifar_gan_nn_one_hidden_backprop,60000,0.5226,0.519,0.1734,0.99967706,0.9914436957218478,35000,0.5216,0.519,0.1822,0.9977226591801572,0.9652126040641213,5000,0.4756,0.467,0.2217,0.9160069436443194,0.6100701728131653,5000,0.4756,0.467,0.2217,0.9160069436443194,0.6100701728131653,5000,0.4756,0.467,0.2217,0.9160069436443194,0.6100701728131653
c10-cifar_gan_nn_one_hidden_biprop,290000,0.4844,0.4783,0.1534,0.9996876691442135,0.9982887,290000,0.4844,0.4783,0.1534,0.9996876691442135,0.9982887,20000,0.2394,0.2336,0.1714,0.0,0.9995474294569153,15000,0.2351,0.2346,0.1423,0.0,0.9999987,5000,0.2705,0.27,0.1552,0.99305516,0.740525
c10-cifar_gan_nn_one_hidden_halfbiprop,265000,0.4826,0.4758,0.1499,0.99943656,0.99828726,335000,0.478,0.478,0.1474,0.9999678,0.99982846,20000,0.2394,0.2336,0.1714,0.0,0.9995474294569153,15000,0.2351,0.2346,0.1423,0.0,0.9999987,5000,0.2705,0.27,0.1552,0.99305516,0.740525
c10-cifar_gan_nn_one_hidden_nobias_backprop,35000,0.5187,0.5162,0.1766,0.9948031870079675,0.9429322129259285,35000,0.5187,0.5162,0.1766,0.9948031870079675,0.9429322129259285,5000,0.4717,0.4659,0.2269,0.9289329505086963,0.5755218205445793,5000,0.4717,0.4659,0.2269,0.9289329505086963,0.5755218205445793,5000,0.4717,0.4659,0.2269,0.9289329505086963,0.5755218205445793
c10-cifar_gan_nn_one_hidden_nobias_biprop,470000,0.4565,0.433,0.1536,1.0,1.0,470000,0.4565,0.433,0.1536,1.0,1.0,475000,0.4248,0.4004,0.1794,1.0,1.0,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507
c10-cifar_gan_nn_one_hidden_nobias_halfbiprop,465000,0.4663,0.4509,0.1482,1.0,0.99999917,465000,0.4663,0.4509,0.1482,1.0,0.99999917,260000,0.3668,0.353,0.1874,1.0,0.9999993,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507
